ObjectID,Shape,FID_Sheet1_XYTableToPoint1,F1,Station,Latitude,Longitude,Height,FID_Unsplitted_Coastal_Line_Buff5
332,Point,8835,8834,LGC1,30.045,-94.075,-12.735,1
333,Point,15152,15151,SJHN,30.046,-81.61,-2.379,1
334,Point,15060,15059,SHSG,30.054,-95.43,14.788,1
335,Point,16897,16896,TXLI,30.056,-94.771,-11.033,1
336,Point,17125,17124,UHL1,30.058,-94.978,-2.86,1
337,Point,17128,17127,UHWL,30.058,-94.978,-1.425,1
338,Point,8561,8560,LALP,30.07,-90.496,-18.307,1
339,Point,14281,14280,ROD1,30.072,-95.527,17.862,1
340,Point,13592,13591,PRRY,30.078,-83.575,-14.41,1
341,Point,16688,16687,TX01,30.082,-94.098,53.791,1
342,Point,8716,8715,LDBT,30.089,-96.779,97.737,1
343,Point,16719,16718,TXB2,30.09,-94.192,-14.078,1
344,Point,16942,16941,TXO1,30.091,-93.736,3.358,1
345,Point,16778,16777,TXCY,30.096,-95.626,33.822,1
346,Point,18199,18198,WLA1,30.096,-95.625,34.742,1
347,Point,16951,16950,TXP3,30.097,-95.988,65.705,1
348,Point,16850,16849,TXHE,30.099,-96.063,47.567,1
349,Point,1002,1001,AWES,30.1,-90.983,-10.312,1
350,Point,16740,16739,TXBS,30.113,-97.291,140.141,1
351,Point,16946,16945,TXOR,30.125,-93.82,-20.832,1
352,Point,8516,8515,LAD1,30.138,-90.956,-20.059,1
353,Point,16718,16717,TXB1,30.161,-94.181,-15.319,1
354,Point,16736,16735,TXBM,30.162,-94.18,-11.906,1
355,Point,3089,3088,CRNR,30.167,-81.369,-15.07,1
356,Point,9525,9524,MCNE,30.181,-93.218,-10.09,1
357,Point,8677,8676,LCBR,30.182,-96.602,102.217,1
358,Point,8922,8921,LKCY,30.185,-82.578,33.65,1
359,Point,18038,18037,WHCR,30.194,-95.505,20.52,1
360,Point,5509,5508,GSEC,30.197,-95.528,25.477,1
361,Point,16827,16826,TXGD,30.199,-96.933,120.15,1
362,Point,13758,13757,PWES,30.199,-95.511,21.641,1
363,Point,8557,8556,LALF,30.199,-92.045,-10.499,1
364,Point,13393,13392,PNCY,30.205,-85.678,-18.635,1
365,Point,13404,13403,PNMA,30.214,-85.673,-16.452,1
366,Point,8554,8553,LALA,30.219,-92.051,-12.877,1
367,Point,16423,16422,TONY,30.221,-92.045,-6.915,1
368,Point,8545,8544,LAJG,30.222,-92.658,-11.624,1
369,Point,15520,15519,STAM,30.222,-90.86,-15.957,1
370,Point,10136,10135,MOB5,30.228,-88.024,-18.418,1
371,Point,10137,10136,MOB6,30.228,-88.024,-18.508,1
372,Point,8546,8545,LAJN,30.229,-92.665,-17.17,1
373,Point,8556,8555,LALC,30.234,-93.131,-18.988,1
374,Point,16829,16828,TXGG,30.236,-97.005,109.096,1
375,Point,17121,17120,UHF1,30.236,-95.483,22.146,1
376,Point,17122,17121,UHJF,30.236,-95.483,24.141,1
377,Point,14629,14628,SAS3,30.246,-93.276,-21.2,1
378,Point,479,478,ALDI,30.249,-88.078,-19.127,1
379,Point,14630,14629,SAS4,30.251,-93.3,-20.225,1
380,Point,4572,4571,FLMC,30.271,-82.126,9.747,1
381,Point,14632,14631,SAS6,30.272,-93.299,-19.876,1
382,Point,8536,8535,LAIB,30.287,-91.237,-5.773,1
383,Point,8541,8540,LAIV,30.287,-91.237,-6.001,1
384,Point,13576,13575,PRMS,30.304,-90.954,-14.088,1
385,Point,10526,10525,MSIN,30.312,-89.604,-18.682,1
386,Point,5596,5595,GVMS,30.314,-90.904,-16.564,1
387,Point,17111,17110,UH02,30.315,-95.457,42.436,1
388,Point,5871,5870,HMS1,30.326,-95.495,45.685,1
389,Point,16775,16774,TXCV,30.335,-95.094,19.998,1
390,Point,8257,8256,KREG,30.336,-81.515,-13.517,1
391,Point,16768,16767,TXCN,30.349,-95.441,48.95,1
392,Point,16689,16688,TX02,30.353,-95.419,52.544,1
393,Point,11020,11019,NDBC,30.356,-89.61,-13.365,1
394,Point,10515,10514,MSGP,30.365,-89.117,-11.879,1
395,Point,4573,4572,FLMD,30.374,-83.275,-1.358,1
396,Point,10563,10562,MSSC,30.375,-89.614,-13.095,1
397,Point,16941,16940,TXNV,30.382,-96.067,58.139,1
398,Point,3966,3965,DSTN,30.389,-86.459,-19.394,1
399,Point,4080,4079,EDBB,30.393,-88.681,-17.63,1
400,Point,16879,16878,TXKO,30.395,-94.332,2.023,1
401,Point,10509,10508,MSGA,30.395,-88.645,-9.223,1
402,Point,15148,15147,SJB1,30.396,-91.107,-3.021,1
403,Point,15854,15853,TALH,30.397,-84.356,-7.289,1
404,Point,4096,4095,EDDV,30.403,-87.684,2.493,1
405,Point,10798,10797,N302,30.404,-87.211,-23.52,1
406,Point,33,32,1LSU,30.407,-91.18,-6.487,1
407,Point,554,553,ALWB,30.416,-87.827,-23.364,1
408,Point,491,490,ALFO,30.417,-87.675,3.03,1
409,Point,8623,8622,LAST,30.429,-89.898,-10.497,1
410,Point,10510,10509,MSGB,30.429,-88.428,-21.489,1
411,Point,4439,4438,FDOT,30.437,-84.275,28.591,1
412,Point,3907,3906,DQCY,30.451,-93.445,5.765,1
413,Point,8493,8492,LAB3,30.469,-91.19,-9.721,1
414,Point,13072,13071,PCLA,30.469,-87.189,1.959,1
415,Point,8602,8601,LAPA,30.47,-91.253,-16.616,1
416,Point,2984,2983,COVG,30.476,-90.096,-5.925,1
417,Point,8515,8514,LACV,30.479,-90.095,-15.626,1
418,Point,7887,7886,JXVL,30.484,-81.701,-19.209,1
419,Point,8520,8519,LADS,30.499,-90.933,-5.569,1
420,Point,8609,8608,LARB,30.505,-90.334,-11.113,1
421,Point,8534,8533,LAHM,30.508,-90.484,-10.859,1
